"professor";"aula";"aluno";"media"
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"aed12aa2185c79f0e09461b66a1170a7 ";"1.8 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"9fbe3fa4dd77c465204fc54c3c32dbde ";"0.0 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"713d1e23e527993346b137af29994241 ";"0.0 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"16bf0724bb873163613d552d76581ff7 ";"1.5 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"76b01289e4fe87eb0efac56d783517df ";"5.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"9efe8770009b530a5758515de6121008 ";"1.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"3f262f8a7b11adc284750418506c7f94 ";"0.0 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"5a9e627bf0fd681918bd77816db3a113 ";"8.3 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"cee3a20c946596d03e871ff34ed174b9 ";"9.2 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"bc17860cdb8c20f9811232cd9f459585 ";"5.3 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"9b14f951c59f2a2b1debe24ecfca937c ";"4.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"fa7ea5c25a4edfd8df90db147f328e52 ";"4.7 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"7d66983b7aa4495bd007b342cc0ea782 ";"4.4 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"ad46ce267d0d845ef75e22248c98ede5 ";"3.2 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"c489d858cf4a29692b4abcc492756c08 ";"2.5 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"ab2978dc1b698b43f07067994d2cb007 ";"1.3 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"201cc307db0bae923dbd07491814644e ";"8.4 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"34eaf88a79125d3c875b7201c8a7bad9 ";"0.8 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"2ebbaa51b82874c8773f3da6ab13bc2b ";"5.4 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"ce74ad673bbc7567921660544fafa599 ";"5.1 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"870e35e194fb88247a61ca7ba97da9bf ";"7.0 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"a1dc8d33f283c91ae47a7fe7d49d34a6 ";"0.3 "
"SILVIO COSTA SAMPAIO";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"9fe6433f39109d1e42a84b9ac780c4fc ";"2.1 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"d580d12834f592d20163ca932fc19e80 ";"5.0 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"e283c75841119571423e79c6083f2ab8 ";"3.2 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"aed12aa2185c79f0e09461b66a1170a7 ";"1.8 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"9fbe3fa4dd77c465204fc54c3c32dbde ";"0.0 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"713d1e23e527993346b137af29994241 ";"0.0 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"16bf0724bb873163613d552d76581ff7 ";"1.5 "
"WELLINGTON SILVA DE SOUZA";"INTRODUÇÃO ÀS TÉCNICAS DE PROGRAMAÇÃO";"76b01289e4fe87eb0efac56d783517df ";"5.7 "
